name,layer,gateway_type,lat,lon
"Muallim, TR",Europe,gateway,40.78875,29.50939
"Mumbai, IN",APAC,gateway,19.126,72.904
"Murrieta, CA",North America,gateway,33.5321667,-117.1796389
"Myrtle Beach, SC - The Gone Golfing GW",North America,gateway,33.709972,-78.895833
"Nabiac, NSW, AU | Mega",APAC,gateway,-32.097118,152.372562
"Nairobi, KE - Cabanas | Mega",Africa,gateway,-1.329119,36.88643
"Nairobi, KE - Karen | Mega",Africa,gateway,-1.3502338,36.750317
"Nauru, NR",Community Gateways,community_gateway,-0.52913,166.91773
"Nemaha, NE",North America,gateway,40.33366667,-95.81527778
"New Braunfels, TX | Mega",North America,gateway,29.7840556,-98.050778
"New York, NY - The New York, New Me GW",North America,gateway,40.711278,-74.001389
"New York, NY - The Shea GW",North America,gateway,40.72,-74.00475
"New York, NY - The Slice Slice Baby GW",North America,gateway,40.717806,-74.00825
"Niland, CA | Mega",North America,gateway,33.2204867,-115.4668146
"Ningi, QLD, AU | Mega",APAC,gateway,-27.068417,153.05476
"Noida, IN",APAC,gateway,28.531,77.394
"Nome, AK, US",Community Gateways,community_gateway,64.5035,-165.4283056
"Norcross, GA",North America,gateway,33.9549722,-84.1979722
"North Bend, WA",North America,gateway,47.48238889,-121.7623333
"North Kansas City, MO - The BBQ GW",North America,gateway,39.127156,-94.579344
"North Miami, FL - The United Teleports GW",North America,gateway,25.949611,-80.191806
"Northlake, IL - The StressX GW",North America,gateway,41.920028,-87.911333
"Nova Santa Rita, BR",South America,gateway,-29.8428556,-51.2845
"Noviciado, CL",South America,gateway,-33.39272,-70.88325
"Nueva Vizcaya (Province), PH",APAC,gateway,16.423,121.114
"Oistins, BB",North America,gateway,13.062759,-59.537583
"Okun Ajah (Lagos), NG | Mega",Africa,gateway,6.425758,3.645496
"Olympia, WA",North America,gateway,46.9155278,-122.8135278
"Onslow, WA, AU",APAC,gateway,-21.645295,115.130406
"Osasco, BR | Mega",South America,gateway,-23.490533,-46.775014
"Otaru, JP",APAC,gateway,43.173215,141.258373
"Oxford, AL - The Super Speedway GW",North America,gateway,33.593639,-85.876833
"Palangka Raya, ID",APAC,gateway,-2.21866,113.925406
